_Id,_UserId,_Name,_Date,_Class,_TagBased
276,56,Editor,2017-06-27T20:04:46.713,3,False
277,56,Organizer,2017-06-27T20:04:46.713,3,False
278,72,Custodian,2017-06-27T20:09:46.863,3,False
279,93,Autobiographer,2017-06-27T20:18:35.400,3,False
280,18,Mortarboard,2017-06-27T20:10:29.177,3,False
281,62,Supporter,2017-06-27T20:18:35.400,3,False
282,16,Quorum,2017-06-27T20:22:04.960,3,False
283,17,Quorum,2017-06-27T20:22:04.960,3,False
284,30,Quorum,2017-06-27T20:22:04.960,3,False
285,31,Quorum,2017-06-27T20:22:04.960,3,False
286,44,Quorum,2017-06-27T20:22:04.960,3,False
287,92,Precognitive,2017-06-27T20:22:04.960,3,False
288,16,Talkative,2017-06-27T20:22:04.960,3,False
289,81,Scholar,2017-06-27T20:23:35.083,3,False
290,72,Teacher,2017-06-27T20:23:35.083,3,False
291,95,Autobiographer,2017-06-27T20:28:35.013,3,False
292,17,Critic,2017-06-27T20:28:35.013,3,False
293,24,Critic,2017-06-27T20:28:35.013,3,False
294,30,Critic,2017-06-27T20:28:35.013,3,False
295,59,Critic,2017-06-27T20:28:35.013,3,False
296,72,Critic,2017-06-27T20:28:35.013,3,False
297,77,Critic,2017-06-27T20:28:35.013,3,False
298,78,Critic,2017-06-27T20:28:35.013,3,False
299,88,Critic,2017-06-27T20:28:35.013,3,False
300,19,Mortarboard,2017-06-27T20:28:08.037,3,False
301,30,Teacher,2017-06-27T20:28:35.013,3,False
303,56,Supporter,2017-06-27T20:33:37.067,3,False
306,96,Autobiographer,2017-06-27T20:38:35.790,3,False
307,97,Autobiographer,2017-06-27T20:38:35.790,3,False
308,98,Autobiographer,2017-06-27T20:38:35.790,3,False
309,96,Supporter,2017-06-27T20:38:35.790,3,False
310,98,Informed,2017-06-27T20:40:59.793,3,False
311,31,Critic,2017-06-27T20:43:35.997,3,False
312,56,Critic,2017-06-27T20:43:35.997,3,False
314,95,Student,2017-06-27T20:43:35.997,3,False
315,95,Supporter,2017-06-27T20:43:35.997,3,False
316,102,Informed,2017-06-27T20:48:46.720,3,False
317,101,Autobiographer,2017-06-27T20:56:49.463,3,False
318,102,Autobiographer,2017-06-27T20:56:49.463,3,False
319,104,Autobiographer,2017-06-27T20:56:49.463,3,False
321,13,Student,2017-06-27T20:56:49.463,3,False
322,89,Student,2017-06-27T20:56:49.463,3,False
323,46,Suffrage,2017-06-27T20:56:49.463,3,False
324,13,Supporter,2017-06-27T20:56:49.463,3,False
325,98,Supporter,2017-06-27T20:56:49.463,3,False
326,102,Supporter,2017-06-27T20:56:49.463,3,False
327,98,Teacher,2017-06-27T20:56:49.463,3,False
328,102,Teacher,2017-06-27T20:56:49.463,3,False
329,36,Supporter,2017-06-27T21:01:49.620,3,False
330,40,Teacher,2017-06-27T21:01:49.620,3,False
331,13,Editor,2017-06-27T21:06:49.400,3,False
332,102,Editor,2017-06-27T21:06:49.400,3,False
333,33,Explainer,2017-06-27T21:06:49.400,3,False
334,104,Editor,2017-06-27T21:16:53.370,3,False
335,46,Vox Populi,2017-06-27T21:16:53.370,3,False
336,104,Teacher,2017-06-27T21:21:53.490,3,False
337,20,Quorum,2017-06-27T21:22:04.960,3,False
338,97,Precognitive,2017-06-27T21:22:04.960,3,False
339,96,Precognitive,2017-06-27T21:22:04.960,3,False
341,72,Talkative,2017-06-27T21:22:04.960,3,False
342,106,Autobiographer,2017-06-27T21:35:44.537,3,False
343,16,Cleanup,2017-06-27T21:35:44.537,3,False
344,107,Autobiographer,2017-06-27T21:40:43.947,3,False
345,13,Critic,2017-06-27T21:40:43.947,3,False
346,106,Supporter,2017-06-27T21:40:43.947,3,False
348,49,Student,2017-06-27T21:45:44.017,3,False
349,49,Custodian,2017-06-27T21:50:44.263,3,False
350,109,Supporter,2017-06-27T22:00:44.540,3,False
351,111,Autobiographer,2017-06-27T22:10:15.637,3,False
352,56,Citizen Patrol,2017-06-27T22:03:58.037,3,False
353,49,Editor,2017-06-27T22:15:15.663,3,False
354,109,Student,2017-06-27T22:20:15.700,3,False
355,111,Precognitive,2017-06-27T22:22:06.287,3,False
356,110,Precognitive,2017-06-27T22:22:06.287,3,False
357,102,Student,2017-06-27T22:25:17.710,3,False
358,109,Editor,2017-06-27T22:30:17.720,3,False
359,109,Teacher,2017-06-27T22:30:17.720,3,False
360,112,Autobiographer,2017-06-27T22:35:17.747,3,False
361,50,Informed,2017-06-27T22:42:11.657,3,False
362,113,Autobiographer,2017-06-27T22:43:37.200,3,False
363,50,Custodian,2017-06-27T22:43:37.200,3,False
364,114,Autobiographer,2017-06-27T22:48:37.220,3,False
365,43,Organizer,2017-06-27T22:48:37.220,3,False
366,10,Tag Editor,2017-06-27T22:48:37.220,3,False
367,81,Tag Editor,2017-06-27T22:48:37.220,3,False
368,17,Mortarboard,2017-06-27T22:53:14.853,3,False
369,33,Mortarboard,2017-06-27T22:53:26.497,3,False
370,10,Organizer,2017-06-27T22:53:37.263,3,False
371,102,Organizer,2017-06-27T22:53:37.263,3,False
372,114,Supporter,2017-06-27T22:53:37.263,3,False
373,19,Tag Editor,2017-06-27T22:53:37.263,3,False
374,36,Teacher,2017-06-27T22:53:37.263,3,False
375,3,Custodian,2017-06-27T22:58:37.220,3,False
376,33,Suffrage,2017-06-27T23:13:54.213,3,False
377,113,Precognitive,2017-06-27T23:22:05.487,3,False
378,33,Vox Populi,2017-06-27T23:23:54.483,3,False
379,116,Autobiographer,2017-06-27T23:28:55.107,3,False
380,40,Critic,2017-06-27T23:33:55.123,3,False
381,117,Autobiographer,2017-06-27T23:38:55.123,3,False
382,52,Custodian,2017-06-27T23:44:53.360,3,False
383,118,Autobiographer,2017-06-27T23:49:53.323,3,False
384,117,Editor,2017-06-27T23:54:53.357,3,False
385,117,Student,2017-06-27T23:54:53.357,3,False
386,119,Autobiographer,2017-06-27T23:59:53.460,3,False
387,117,Custodian,2017-06-27T23:59:53.460,3,False
388,65,Custodian,2017-06-28T00:04:53.450,3,False
389,120,Autobiographer,2017-06-28T00:14:53.433,3,False
390,120,Supporter,2017-06-28T00:14:53.433,3,False
391,51,Quorum,2017-06-28T00:22:05.697,3,False
392,115,Precognitive,2017-06-28T00:22:05.697,3,False
393,121,Autobiographer,2017-06-28T00:29:53.517,3,False
394,89,Scholar,2017-06-28T00:29:53.517,3,False
395,122,Autobiographer,2017-06-28T01:02:48.557,3,False
396,123,Autobiographer,2017-06-28T01:02:48.557,3,False
397,123,Supporter,2017-06-28T01:02:48.557,3,False
398,16,Suffrage,2017-06-28T01:18:02.780,3,False
399,122,Precognitive,2017-06-28T01:22:05.953,3,False
400,16,Vox Populi,2017-06-28T01:38:09.393,3,False
401,124,Autobiographer,2017-06-28T01:53:56.593,3,False
402,125,Autobiographer,2017-06-28T01:53:56.593,3,False
403,126,Autobiographer,2017-06-28T01:58:55.937,3,False
404,127,Autobiographer,2017-06-28T02:13:55.907,3,False
405,128,Autobiographer,2017-06-28T02:13:55.907,3,False
406,25,Nice Answer,2017-06-28T02:18:55.910,3,False
407,127,Supporter,2017-06-28T02:18:55.910,3,False
408,124,Precognitive,2017-06-28T02:22:38.290,3,False
409,125,Precognitive,2017-06-28T02:22:38.290,3,False
410,127,Precognitive,2017-06-28T02:22:38.290,3,False
411,109,Custodian,2017-06-28T02:28:58.653,3,False
412,13,Teacher,2017-06-28T02:39:00.753,3,False
413,18,Nice Answer,2017-06-28T02:44:00.303,3,False
414,102,Nice Question,2017-06-28T02:44:00.303,3,False
415,129,Autobiographer,2017-06-28T02:49:00.290,3,False
417,129,Supporter,2017-06-28T03:11:38.083,3,False
418,130,Autobiographer,2017-06-28T03:16:38.530,3,False
419,131,Autobiographer,2017-06-28T03:21:38.507,3,False
420,123,Student,2017-06-28T03:21:38.507,3,False
421,127,Teacher,2017-06-28T03:21:38.507,3,False
422,129,Precognitive,2017-06-28T03:22:38.127,3,False
423,131,Precognitive,2017-06-28T03:22:38.127,3,False
424,102,Talkative,2017-06-28T03:22:38.127,3,False
425,115,Teacher,2017-06-28T03:39:13.360,3,False
426,133,Informed,2017-06-28T03:54:11.227,3,False
427,113,Supporter,2017-06-28T03:54:14.053,3,False
428,56,Commentator,2017-06-28T04:04:14.007,3,False
429,81,Commentator,2017-06-28T04:04:14.007,3,False
430,25,Commentator,2017-06-28T04:04:14.007,3,False
431,32,Commentator,2017-06-28T04:04:14.007,3,False
